325:213466824:d=2021050900:CLWMR:300 mb:anl:
326:213467701:d=2021050900:ICMR:300 mb:anl:
327:213959302:d=2021050900:RWMR:300 mb:anl:
328:213959805:d=2021050900:SNMR:300 mb:anl:
329:214138297:d=2021050900:GRLE:300 mb:anl:
330:214144940:d=2021050900:RIME:300 mb:anl:
331:214145128:d=2021050900:HGT:325 mb:anl:
332:215859875:d=2021050900:TMP:325 mb:anl:
333:216394013:d=2021050900:RH:325 mb:anl:
334:216950192:d=2021050900:DPT:325 mb:anl:
335:219106654:d=2021050900:SPFH:325 mb:anl:
336:220397936:d=2021050900:VVEL:325 mb:anl:
337:222815113:d=2021050900:DZDT:325 mb:anl:
338:223678720:d=2021050900:UGRD:325 mb:anl:
339:224860295:d=2021050900:VGRD:325 mb:anl:
340:225984541:d=2021050900:TKE:325 mb:anl:
341:226222872:d=2021050900:CLWMR:325 mb:anl:
342:226224082:d=2021050900:ICMR:325 mb:anl:
343:226806941:d=2021050900:RWMR:325 mb:anl:
344:226807856:d=2021050900:SNMR:325 mb:anl:
345:227024314:d=2021050900:GRLE:325 mb:anl:
346:227031963:d=2021050900:RIME:325 mb:anl:
347:227032151:d=2021050900:HGT:350 mb:anl:
348:228762014:d=2021050900:TMP:350 mb:anl:
349:229300174:d=2021050900:RH:350 mb:anl:
350:229863366:d=2021050900:DPT:350 mb:anl:
351:232033338:d=2021050900:SPFH:350 mb:anl:
352:232817994:d=2021050900:VVEL:350 mb:anl:
353:235266970:d=2021050900:DZDT:350 mb:anl:
354:236136775:d=2021050900:UGRD:350 mb:anl:
355:237339725:d=2021050900:VGRD:350 mb:anl:
356:238488448:d=2021050900:TKE:350 mb:anl:
357:238726779:d=2021050900:CLWMR:350 mb:anl:
358:238728316:d=2021050900:ICMR:350 mb:anl:
359:239295910:d=2021050900:RWMR:350 mb:anl:
360:239297225:d=2021050900:SNMR:350 mb:anl:
361:239545949:d=2021050900:GRLE:350 mb:anl:
362:239554694:d=2021050900:RIME:350 mb:anl:
363:239554882:d=2021050900:HGT:375 mb:anl:
364:241297720:d=2021050900:TMP:375 mb:anl:
365:241856795:d=2021050900:RH:375 mb:anl:
366:242429440:d=2021050900:DPT:375 mb:anl:
367:244653604:d=2021050900:SPFH:375 mb:anl:
368:245499216:d=2021050900:VVEL:375 mb:anl:
369:247964764:d=2021050900:DZDT:375 mb:anl:
370:248833093:d=2021050900:UGRD:375 mb:anl:
371:250041473:d=2021050900:VGRD:375 mb:anl:
372:251192365:d=2021050900:TKE:375 mb:anl:
373:251430696:d=2021050900:CLWMR:375 mb:anl:
374:251432807:d=2021050900:ICMR:375 mb:anl:
375:252004766:d=2021050900:RWMR:375 mb:anl:
376:252006682:d=2021050900:SNMR:375 mb:anl:
